text,intensity_score
Today I went for a long run and felt amazing,0.65
I walked around the neighborhood with my dog,0.1
I did an intense spinning class,0.75
"Rest day, just did some light stretching",0.05
Played tennis with my little brother for most of the afternoon,0.65
Rest day in preparation for running a marathon tomorrow,0.0
Lifted a few lego bricks,0.0
"Danced a lot at the club, flushed by the end",0.35
Read for a few hours,0.0
Did some light stretching,0.05
Ten pushups,0.35
Managed to swim 4 lengths of the pool,0.35
Twenty Pushups,0.35
Forty Pushups,0.6
Went for a short run around the neighbourhood,0.3
I walked around,0.1
I did an intense martial arts class,0.75
Fenced till I was sore,0.7
Rest day,0.0
Played tennis for most of the morning,0.6
"Cycled hard uphill for a good half-hour, then down to the park a few miles away",0.6
did 1000 steps throughout the day,0.1
did a thousand steps briskly,0.2
did 100 steps throughout the day,0.0
"Danced a lot at home, panting by the end",0.6
"Read the great gatsby, the pages were not heavy",0.0
Did some light-show work,0.0
Ten slow situps,0.15
Did an intense swimming class,0.75
Twenty slow situps,0.2
Forty situps without stopping,0.5
Today I went for a long jog and felt tired but proud,0.45
I walked around the park with my neighbor,0.1
"I did a hard spinning class with extra intervals, no breaks",0.85
Just rested today and did a few yoga stretches,0.05
Played doubles tennis with friends for two hours,0.55
Took a rest day to prepare for tomorrows half-marathon,0.0
Lifted my shopping bags and some books,0.05
"Danced at home for a few hours, pretty sweaty by the end",0.4
Read a novel for most of the afternoon,0.0
Did some light morning stretching,0.05
Ten slow pushups with lots of breaks,0.1
Swam 6 slow laps at the community pool,0.15
Twenty fast pushups,0.65
Forty pushups without stopping,0.75
Went for a slow jog around the block,0.1
Strolled around the mall for a bit,0.05
I did an intense kickboxing session,0.75
Practiced fencing drills until exhausted,0.8
"Completely rested today, no activity",0.0
Played a tennis match (best of 5 sets) no breaks,0.75
Did a gentle yoga class focused on breathing,0.05
Power-walked around the lake for 45 minutes,0.3
"Completed a heavy weightlifting session (deadlifts, squats)",0.8
Went hiking up a steep mountain trail,0.8
Took a slow bike ride around town,0.1
Rowed steadily for an hour on a machine,0.5
Sprinted intervals at the track,0.9
Slow danced at a party,0.2
"Worked in the garden, weeding and planting flowers",0.2
Helped a friend move furniture all afternoon,0.45
Did a slow-paced Zumba class,0.4
Practiced tai chi in the park,0.05
Jumped rope lightly for a few minutes,0.25
Did burpees till exhaustion,0.85
Jogged up and down stairs for 10 minutes,0.45
Stood and watched my kids soccer game,0.0
Did 30 minutes of Pilates,0.5
Swept and cleaned the house thoroughly,0.05
Took a very slow walk to the corner shop,0.05
Ran 10k race at competition pace,0.9
Slowly climbed a few flights of stairs,0.05
High-intensity spinning followed by slow cooldown ride,0.75
Carried groceries home over several blocks,0.4
Did a heavy CrossFit WOD,0.9
Skated around the rink with friends casually,0.15
Skated laps competitively at the rink,0.8
Did 15 minutes of easy aqua aerobics,0.1
Completed a hardcore HIIT session,0.9
Lightly practiced basketball shots with no game,0.1
Played a full court basketball game competitively,0.85
Did some light stretching after waking up,0.05
Did a moderately intense yoga class,0.4
Power-walked around the park for 45 minutes,0.25
"Went hiking down an forest trail, taking occaisonal breaks",0.55
Sprinted around town,0.75
Rowed vigorously for an hour on a machine,0.7
"Worked in the office, selling flowers",0.0
Casually practiced cricket in the park,0.6
Jumped rope quickly for thirty minutes,0.65
Did burpees till sweating,0.6
Slowly climbed a walll at a rock climbing centre,0.4
Carried heavy suitcase home over several blocks,0.4
Skateboarded with friends casually,0.05
Did 10 minutes of easy gymnastics,0.1
managed to bench press 2 plates for 3 sets of 5 (with 2 second pauses between reps),0.55
3 sets of 5 of 20kg weighted pull ups,0.7
managed to do 45kg weighted squats for 3 sets of 20 pain free,0.5
3 sets of 10-20 weighted squats with 100kg,0.75
almost at 10 pull ups a set,0.6
walking in the gym,0.05
Did Upper Body Row at a weight that impressed the teenage boys in the gym (I am 55 and female),0.85
was doing lat pulldowns on the planet fitness machines and FINALLY I actually feel it in my lats!,0.4
fast food.,0.0
Hit my best 10k time in 2 years.,0.85
Started a running training program last Sunday. Just ran 1.5 miles without stopping. Progress is progress,0.6
New PR on my bench press this week. 75kg!,0.7
Weight increased from 30 to 45 on most of the machines I use!!!!,0.6
"Ran 6 miles yesterday, which if someone told me a year ago thats what I could accomplish I would call them nuts!",0.75
ran my first 10k without stopping to walk!,0.8
Ran 12 miles yesterday even when I wanted to give up,0.85
I went swimming this week. I wanted to get out of my comfort zone.,0.3
"Made it to Zumba class, going again today and also on Monday!",0.5
I managed a 14km run in my half marathon training and still felt pretty comfortable.,0.75
10 long slow miles.,0.5
I took out the recycling today!,0.0
"Woke up with no motivation this morning, but managed to drag my ass to the gym for leg day, and actually managing to have a decent work out?",0.5
"I moved a few months ago, and finally put together my garage gym at the new place!",0.1
"on the indoor bike, 10 miles.  Takes about half an hour.",0.65
Knocked out 4x6 reps of 90kg bench today. Felt strong throughout.,0.55
Did 3x10 of 15kg weighted pull-ups. Started shaking on the last few reps.,0.75
Squatted 60kg for 4 sets of 25. Legs officially broken.,0.65
Hit a solid 10 sets of 10 bodyweight squats for active recovery.,0.7
Walked 20 minutes to the gym while sipping coffee.,0.1
"Crushed upper body cables today, pushed till failure.",0.85
Did pulldowns until my lats were sore — felt it even in my core.,0.6
"Ate fast food again, didn't make it to the gym. Tomorrow, maybe.",0.0
Sprinted a 5k — finished just over 20 minutes. Brutal pace.,0.85
"Jogged 1 mile, walked another 2. Trying to build stamina slowly.",0.15
Pressed 85kg today — 5 sets of 3. Felt like a PR.,0.75
Machines felt easy today — added 10kg to every set.,0.6
Ran 5 miles on an incline treadmill. Soaked in sweat after.,0.65
10k done in under 50 minutes! Personal best.,0.8
Long-distance trail run: 18km. Muddy and exhausting but satisfying.,0.85
First time doing HIIT boxing class. Arms are still shaking.,0.8
Doubled up cardio today — rowing machine then a 30-minute spin class.,0.8
"14km run. Legs were sore, but I did it.",0.75
Stretched for 30 minutes. Low-key but still moving.,0.15
Showed up for leg day but mostly foam rolled and left early.,0.1
Organized my workout gear at home. Feeling ready for next week.,0.0
Cycled 15 miles outdoors. Headwinds made it twice as hard.,0.65
Hill sprints x8 reps — couldnt finish the last one.,0.85
100 burpees for time. Nearly threw up but finished under 12 minutes.,0.9
Cranked out 3 sets of 8 reps of 60kg bench press. Felt solid.,0.6
Did 5 reps of 25kg weighted pull ups. Arms were jelly after.,0.75
3x15 squats at 80kg — quads on fire by the end.,0.65
Finally managed 12 pull ups in one set — no breaks.,0.7
"Warm-up walk to the gym, slow pace. Nothing intense.",0.1
"Hit a new high on chest row, the machine maxed out!",0.8
Got DOMS from lat pulldowns — hit 4 sets of 12 with perfect form.,0.6
Grabbed fast food again — rest day.,0.0
Sprint intervals for 20 minutes — felt like dying by the end.,0.85
Jogged 2 miles without stopping for the first time — pretty happy.,0.55
Hit 80kg on the bench press today! Personal record!,0.75
Increased my weights across every machine by at least 20kg.,0.65
Ran 8 miles in the rain — hardest run of the year.,0.9
Nonstop 10k today in hilly terrain.,0.85
14 miles done. Nearly collapsed but I didnt quit.,0.95
First time swimming laps with intervals — exhausting!,0.7
Double Zumba day — morning and evening. I'm dead.,0.75
Ran 16km at race pace — legs were shaking by the end.,0.9
Walked 7km while talking on the phone.,0.2
Forced myself to show up for leg day. 4x12 Romanian deadlifts.,0.65
Finally finished building my home gym — no more excuses.,0.1
"12 miles on the exercise bike, kept my heart rate at 150bpm.",0.6
Stair sprints — 10 rounds. Thought I might throw up.,0.9
3 sets of 15 dumbbell thrusters — sweating buckets.,0.8
